title,artist,track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
In The Night - Vocal Mix,Who Da Funk,58vUZr3mAqVQx2OJDEoGoO,house,0.771,0.821,0,-7.01,0,0.0407,0.00887,0.00327,0.724,0.767,126.984,5
Runnin',"Low Steppa, Kelli-Leigh",0GLTR8JIMuLu535HoukLVn,house,0.551,0.935,0,-4.101,1,0.0368,0.000653,0.0022,0.298,0.324,123.035,14
Music In Me - Full Mix,Who Da Funk,7vM8ocV8x293V84o68wDGQ,house,0.636,0.523,10,-14.893,0,0.0455,0.00147,0.802,0.0667,0.161,125.994,2
Turn Around (Hey What's Wrong With You),Phats & Small,71SVKq1Cz41dc7vGeCfZsM,house,0.739,0.875,6,-3.645,0,0.0508,0.0044,0.114,0.324,0.928,131.98,8
Cookie Dough Dynamo - Dynamo Remix,Richard F.,76m0jtGEpfwy5s14gt2K03,house,0.88,0.876,9,-12.365,0,0.0648,8.46e-05,0.49,0.0698,0.596,130.004,2
If I Ever Lose My Faith - Kruse & Nuernberg Remix,"The Scumfrog, Sting, Kruse & Nuernberg",1nTs6izsuGbOwoBeAYAaFi,house,0.857,0.553,11,-5.732,0,0.063,0.00412,0.583,0.0556,0.597,122.984,3
4AM In London,"DJ S.K.T, Iris Gold",3RZSVqUVPFOj2qy1X1hN4W,house,0.86,0.91,1,-6.69,1,0.0419,0.00789,0.0492,0.0358,0.451,123.018,4
Forever - Main Mix,"Sandy Rivera, John Alvarez, Shawnee Taylor",3TDYd8Pyq8TxcovY1NV423,house,0.766,0.762,9,-12.079,1,0.0572,0.00622,0.0807,0.479,0.828,126.986,6
Movin' Thru Your System,Jark Prongo,3iFfLp0TpjO7qvkKEW0qA6,house,0.625,0.952,1,-7.556,1,0.0412,5.34e-05,0.887,0.343,0.686,131.986,11
Shiny Disco Balls - Illyus & Barrientos Refix,"Who Da Funk, Jessica Eve, Illyus & Barrientos",2DvZPolMJF6fsbXo1xC0LT,house,0.74,0.955,2,-5.864,1,0.0431,0.00477,0.896,0.0842,0.816,124.996,11
Euro - Sebastian Ingrosso Remix,"Steve Angello, Sebastian Ingrosso",3DOAoiF8MM1q94K7KyzAZv,house,0.453,0.954,10,-8.275,0,0.0451,0.000263,0.905,0.151,0.616,134.972,2
Who Do You Love Now (Stringer) - Riva's Bora Bora Extended Remix,"Riva, Dannii Minogue",2PXI0vPrcAOcQmk9hqWlUr,house,0.574,0.875,1,-7.463,1,0.0422,5.04e-05,0.671,0.111,0.757,135.053,11
Distortion - It's Over Mix,The Pianoheadz,6sxtSqClDNFD6uOcFXBvba,house,0.768,0.924,8,-9.314,0,0.0543,0.0083,0.0499,0.0338,0.604,129.005,3
Everywhere Is House,"Kurd Maverick, Roland Clark",71PwZhQWv4kwn8Zcgtct5G,house,0.772,0.83,11,-8.87,0,0.0634,0.00187,0.647,0.0543,0.807,124.981,2
Do What You Want To Do - Classic Club Mix,"New Yorker Soul, Shawnee Taylor",6JfOzoThCtbppdcmuenvhJ,house,0.747,0.799,10,-13.44,0,0.0582,0.00849,0.0925,0.148,0.721,125.879,3
Love Shy - Sam Divine & CASSIMM Remix,"Kristine Blond, CASSIMM, Sam Divine",6Noai5pBWAKyWmcLnYwMyd,house,0.794,0.906,1,-4.701,1,0.0428,0.00302,0.0312,0.0335,0.641,123.007,4
Fun - Basement Jaxx's Vocal Mix,"Da Mob, Jocelyn Brown, Basement Jaxx",23fugBYGNpAH0TR6ro9Uvo,house,0.744,0.882,0,-8.201,1,0.0613,0.00167,0.224,0.389,0.81,125.102,4
Shined On Me,"Praise Cats, Andrea Love",7Fpsxnv79XsObs6od9DI2V,house,0.8,0.86,1,-8.137,1,0.035,0.0718,0.191,0.628,0.943,131.958,5
So Many Times,"Gadjo, Alexandra Prince",0Zmd9Czpgud8vA6kkho7Ro,house,0.611,0.837,9,-5.792,0,0.0736,0.0175,0.0187,0.174,0.745,129.034,3
Believe - Ministers Vocal Mix,"Ministers de la Funk, Jocelyn Brown",0T4E2YisKtTthmhpTUFMzi,house,0.831,0.795,11,-8.447,0,0.0528,0.0168,0.000159,0.0874,0.961,127.125,3
I Wanna Be U,Chocolate Puma,2buSqnkBLDQovyEbHymJeC,house,0.876,0.935,5,-4.765,0,0.145,0.0867,0.309,0.169,0.565,133.066,8
Shiny Disco Balls - Main Mix,"Who Da Funk, Jessica Eve",1NX3R4O0OeDJKm34636UqF,house,0.835,0.815,5,-13.226,0,0.0621,0.116,0.743,0.392,0.539,127.991,2
Waterman,Olav Basoski,0cqsrpYdec1X0cVr6uZFtT,house,0.481,0.956,7,-6.558,1,0.0361,2.21e-05,0.759,0.321,0.511,126.005,11
Fun - Main Vocal Mix,"Da Mob, Jocelyn Brown",6JhUqkwpMXW7pA098f5TRe,house,0.814,0.898,2,-8.845,1,0.111,0.00154,0.101,0.0465,0.428,124.997,4
Give It Up,The Good Men,5EikxGGapV7J8avhYBm8Jq,house,0.847,0.864,4,-6.736,1,0.0996,0.0271,0.431,0.0556,0.666,124.846,11
House Music - Main Mix,"Eddie Thoneick, Kryder, John Julius Knight, Roland Clark",0c5tPK3Zhsfw2GJjDif86V,house,0.653,0.945,11,-4.12,0,0.049,0.000677,0.42,0.0609,0.558,126.002,3
Tania,Harry Romero,3tDcFOlZVcYhLgICDlcuOj,house,0.824,0.86,2,-10.066,1,0.0376,0.0063,0.839,0.17,0.699,124.019,11
Welcome To The Jungle - Andrea Oliva Remix,"Thick Dick, Andrea Oliva",6QlPm8I9TVLlqXAxjEzgJk,house,0.769,0.961,7,-6.597,1,0.0821,0.00427,0.579,0.0462,0.446,126.003,11
Happy People,Static Revenger,16UonMTfylyJCHipP9CACn,house,0.652,0.981,8,-3.313,1,0.133,0.0027,0.0336,0.0768,0.485,127.996,6
Movin',Antranig,3Cnoh6DYw6KdiPxNDxNnIZ,house,0.753,0.972,2,-7.477,1,0.0476,0.046,0.899,0.0937,0.773,123.965,11
Acid,Steve Angello,3qeFbvBoZbHVBR2tfOcYQ8,house,0.632,0.92,2,-6.811,0,0.0387,0.0167,0.935,0.104,0.159,130.994,2
Remedy,"Ferreck Dawn, Shyam P",3tUU5m0k1VgxxDPPuAMMBT,house,0.794,0.806,2,-7.196,1,0.0568,0.0106,0.75,0.0896,0.407,123.969,11
Scream & Shout - Vocal Mix,the Committee,2sdnEpVvPJU7zZ25qflLUO,house,0.715,0.826,9,-11.676,0,0.175,0.0717,0.0,0.258,0.244,127.926,3
Sting Me Red (Clever) - Main Mix,"Who Da Funk, Terra Deva",3voJ2nYnyXK27hwpvijOUi,house,0.721,0.415,3,-16.19,0,0.0439,0.000749,0.747,0.103,0.508,127.989,2
Sun Is Shining - De Luxe Edit,Funkstar De Luxe,4kvCxuLuOCfpZGagbAoC3o,house,0.706,0.961,4,-3.609,0,0.057,0.000945,0.0653,0.117,0.928,130.028,8
Give It Up,Tough Love,06nuzuITqaaaWUGcWx1xVC,house,0.728,0.901,8,-7.812,1,0.0392,0.0042,0.913,0.0842,0.703,124.003,11
Oh Boy!,Klatsch!,45xrSRcOz8xdLwffNDrXQW,house,0.732,0.961,6,-5.055,0,0.0337,0.0024,0.834,0.0828,0.399,130.844,2
Dia De Ayer,"Joeski, Héctor Lavoe",1Pd3k1RBgBqXZOQrXEtm8n,house,0.554,0.941,5,-6.708,0,0.054,0.0365,0.892,0.0367,0.736,123.022,2
Good Love - The Dronez Dub,"Richard F., Dronez",3KYNGfIEy0lhfhOxwNAqAQ,house,0.719,0.702,8,-12.598,1,0.0818,0.000561,0.86,0.0658,0.354,126.01,11
Baby Can You Reach - Original Acetate,Todd Terry,1NNGr7ZeGQWrdO6jytrkfL,house,0.813,0.599,4,-7.913,0,0.0584,0.00047,0.921,0.0723,0.346,126.424,2
I Will - Main Vocal,"Mongobonix, Inaya Day",6946YtcPyohCDFog8745IQ,house,0.703,0.707,7,-11.565,1,0.0499,0.00033,0.287,0.0709,0.377,126.991,6
Insatiable - Vocal Mix,Thick Dick,5bd7YS2OO5iyy6xA5fkixO,house,0.72,0.507,9,-12.002,1,0.0427,0.0141,0.258,0.117,0.75,127.98,6
Love Shy - James Hype Remix,"Kristine Blond, James Hype",2QPRyuSM1lKSSIRSrpFlDH,house,0.824,0.862,2,-5.164,1,0.0436,0.00246,0.0282,0.608,0.656,125.006,5
Lost My Way,Sean Sines,0G3KSbqJeblhqYbpWystXZ,house,0.781,0.851,10,-5.723,1,0.043,0.000387,0.115,0.0829,0.767,124.025,6
In My Life - Da Dronez Dub,"Jose Nunez, Octahvia, Dronez",4HkVPlKP0by4FV1AAvQTUR,house,0.727,0.741,8,-9.512,1,0.0531,0.000474,0.308,0.0766,0.596,126.97,6
Sing - Main Mix,"Praise Cats, Andrea Love",1Zlme6OPUhsQawXlAeHa4W,house,0.729,0.622,4,-8.232,0,0.0493,0.0199,0.332,0.0823,0.56,126.001,8
Movin' Too Fast,Shermanology,4lhZGZcfeNcztLn7PXV9vH,house,0.848,0.776,11,-3.877,0,0.0464,0.00854,0.0,0.173,0.651,124.973,3
Mas Pito,Mongobonix,2dqhzutIUNPwcI6kWo9JDY,house,0.643,0.837,2,-9.913,1,0.0526,0.0002,0.87,0.0607,0.741,127.025,11
Keep The Love - Tom Staar Remix,"Money Chocolate, Sarah Webb, Tom Staar",7axSfDeE2sRMrLJMLcn0jC,house,0.6,0.989,6,-4.745,1,0.074,0.00129,0.0435,0.108,0.114,123.967,14
Stomp Your Feet - The Hump Mix,The Crumpster,2vMvJijcW8z8sgkjvPJBGp,house,0.79,0.464,10,-12.572,0,0.372,0.00785,0.131,0.178,0.527,127.999,9
Swag House,"Jose Nunez, Antranig, El Gucci",3PDSwzHrSzTUtTX8elNWRD,house,0.617,0.901,6,-7.549,0,0.0576,0.00412,0.895,0.0871,0.271,125.001,2
Funk A Faction - Benny Benassi Mix,"Robbie Rivera, Benny Benassi",775Q0ZAug7MtocgPVm9fUJ,house,0.723,0.813,0,-4.967,0,0.225,0.0121,0.294,0.153,0.666,130.031,8
Euro,Steve Angello,01dPq2zEKQxiK3VXapNN9E,house,0.663,0.967,8,-8.154,1,0.0396,1.91e-05,0.777,0.169,0.278,129.043,11
Just Can't Get Enough - Choo Choo's Main Vocal Mix,"Harry Romero, Inaya Day",7M2tKPzLn7BTMq8vuB7uUI,house,0.757,0.803,1,-8.33,1,0.113,0.00635,0.026,0.271,0.594,125.989,4
Take Me,Phil Fuldner,36MXO0rXDSMklEOsCV7aiD,house,0.71,0.934,0,-4.266,1,0.0648,0.00406,0.000975,0.3,0.851,122.052,4
Love Is The Key - Original Mix,"Praise Cats, Andrea Love",5uHfgEG7jhPuel834sIqPb,house,0.791,0.815,11,-8.06,0,0.0585,0.00139,0.648,0.0557,0.806,128.016,2
Runaway - Harry Romero Dirty Jersey Remix,"Jako Diaz, Harry Romero",5yfPTN8Z09CdgT2oCUeheN,house,0.562,0.939,0,-7.821,0,0.0472,0.00026,0.174,0.103,0.643,123.994,8
Special K - Club Mix,"Lee Kalt, Arthur Explicit, Missus M",4Eu0Q0pFkFNGamEzmraFOH,house,0.777,0.641,9,-8.651,1,0.0422,0.0014,0.192,0.109,0.163,129.007,6
Keep Moving,Harry Romero,7BoLTSpQOadfREDZvYcEha,house,0.805,0.929,11,-8.627,0,0.0582,0.00106,0.857,0.0852,0.738,126.002,2
